PLU,ARTICLE,ARTICLE DESCRIPTION,PRICE
3725,1367193,LITCHI IMPORTED,3699
3726,1365313,LONGAN,1199
3728,1364548,MANGO KEITH,1999
3731,1368369,MANGO TOMMY ATKINS,1999
3744,1364498,PASSION FRUIT IMPORTED,1399
3746,1364348,PEAR RED IMPORTED,499
3749,1367196,GOOSBERRY IMPORTED,3599
3755,1368351,POMELLO THAI,899
3762,1365203,STRAWBERRY BOX,299
3775,1363847,TEA CULTURE TROPICAL TREAT LOOSE TEA,1540
3786,1365381,APPLE WOOD,109
3788,1365254,CARROT INDIAN,79
3850,1421295,CON MICROGREENS CHINA ROSE,199
3851,1421296,CON MICROGREENS RADISH WHITE,69
3852,1421297,CON MICROGREENS RADISH PINK,149
3853,1421298,CON MICROGREENS RADISH PURPLE,199
3854,1421299,CON MICROGREENS MUSTARD,69
3856,1421301,CON MICROGREENS SUNFLOWER,69
3857,1421302,CON MICROGREENS WHEATGRASS,55
3866,1421311,CON MICROGREENS 4 VARIETY 50 GM,149
3879,1363882,TEA CULTURE CARAMEL PEACH LOOSE TEA,1540
3883,1363886,TEA CULTURE GO GUAVA LOOSE TEA,1500
4062,1367194,PASSION FRUIT PURPLE IMPORTED,1399
4067,1368404,JALAPENO CHILLI PEPPERS RED IMPORTED,3699
4123,1382756,GRAPES GREEN PKD,69
4124,1382757,GRAPES BLACK PKD,209
4125,1357967,CASTELLO DANISH BLUE 1.5 KG,3300
4146,1368518,MANGO ALPHONSO DEV 1PCS,199
4147,1372712,MANGO ALPHONSO 12PCS BOX,1499
4150,1355636,PRASUMA SMOKED TURKEY HAM ROLL KG,2790
4219,1368465,MELON MUSK STRIPED,79
4221,1368511,PLUMS INDIAN,349
4224,1356325,PIRENE HUNGARIAN SALAMI 2.5 KG,4000
4226,1356324,Espina Chorizo with chilly 1.5kg,2784
4229,1356322,Espina Spanish Toast Ham3.8KG,4000
4253,1356316,SANT DALMAI TURKEY BREAST WITH OLIVE 4KG,4000
4258,1356315,SANT DALMAI ARTI TURKEY BREAST SMOKD 6KG,3500
4259,1356318,SANT DALMAI 1964 PORK MORATDELLA 4 KG,3500
4284,1421373,CON LETTUCE KALE,459
4301,1359878,DUFINA BLACK FOREST HAM 6 KG,3000
4353,1380339,PAYSAN BRETTON COKNG CRM 15PER FAT 1 LTR,899
4406,1421378,CON RADISH RED,99
4415,1364222,WOOHOO FARM DIRECT FRESH MILK 1LT,80
4416,1365142,WOOHOO A2 DESI COW MILK 1L,120
4417,1421379,CON PAKCHOY,229
4418,1421380,CON STRAWBERRY,399
4419,1421381,CON BELL PEPPER MIXED,319
4420,1365334,LETTTUCE BUTTER HEAD GREEN SGV,699
4427,1421382,CON BABY POTATO,49
4428,1421383,CON CARROT RED,149
4436,1421385,CON FRENCH BEANS,189
4437,1421386,CON GINGER,99
4438,1421387,CON GREEN PEAS,139
4439,1421388,CON CARROT BABY,299
4442,1421391,CON AMLA,299
4444,1368461,PEACH INDIAN,399
4452,1361371,NB CARROT BLACK,79
4453,1377358,WATERMELON SARASWATI PC,99
4459,1421457,MACADEMIA SINGLE BIG BROOKIE,240
4460,1421458,PECANS SINGLE BIG BROOKIE,240
4461,1421459,BLUEBERRY SINGLE BIG BROOKIE,240
4462,1421460,ALMOND WITH SAFFRON SINGLE BIG BROOKIE,240
4463,1421461,HAZELNUT SINGLE BIG BROOKIE,210
4464,1421462,STRAWBERRY SINGLE BIG BROOKIE,210
4465,1421463,PISTACHIO SINGLE BIG BROOKIE,210
4466,1421464,WALNUT SINGLE BIG BROOKIE,210
4467,1421465,FIGS&HONEY  SINGLE BIG BROOKIE,210
4468,1421466,KIDS SPECIAL SINGLE BIG BROOKIE,210
4469,1421467,ALMOND SINGLE BIG BROOKIE,190
4470,1421468,ORANGE SINGLE BIG BROOKIE,190
4471,1421469,GINGER SINGLE BIG BROOKIE,190
4472,1421470,SPEARMINT SINGLE BIG BROOKIE,190
4473,1421471,SUPER PREMIUM COMBO,370
4474,1421472,PREMIUM COMBO,340
4475,1421473,REGULAR COMBO,320
4476,1421484,HAZELNUT MILK CHOCOLATE SINGLE BROOKIES,210
4478,1368504,CHERRY INDIAN,749
4480,1368512,JAM RED INDIAN,199
4481,1368513,JAM WHITE INDIAN,199
4482,1368509,LITCHI INDIAN,599
4560,1385686,MULBERRY INDIAN PC,99
4618,1423430,MANGO KESAR MAHA,119
4619,1423431,MANGO KESAR KUTCH,119
4620,1423432,MANGO KESAR GIR,119
4621,1423433,MANGO KESAR JUMBO,159
4622,1420557,MANGO ALPHONSO DEV 12PCS BOX,2388
4623,1420558,MANGO ALPHONSO 6PCS BOX,1194
4625,1368503,ALMOND GREEN,399
4626,1421443,NATURES MANGO ALPHONSO PREMIUM 12 PC BOX,1199
4627,1421444,NATURES MANGO ALPHONSO PREMIUM 6 PC BOX,699
4628,1423440,MANGO KESAR KUTCH 12PC BOX,1499
4629,1423441,MANGO KESAR KUTCH 6PC BOX,599
4630,1423444,MANGO KESAR GIR 12PC BOX,999
4631,1423445,MANGO KESAR GIR 6PC BOX,599
4632,1423438,MANGO KESAR MAHA 12PC BOX,1299
4633,1423439,MANGO KESAR MAHA 6PC BOX,599
4634,1377363,MUSK MELON MADHU PC,199
4646,1386024,FIORELLA PARMESAN CHEESE 4.5KG,3300
4718,1386522,AVOCADO INDIAN PC,199
4719,1386523,HASS AVOCADO 1PC,349
4725,1387872,TOMATO CHERRY VINE DEEP RED,199
4727,1387874,TOMATO CHERRY VINE BROWN,199
4728,1387875,TOMATO CHERRY PLUM YELLOW,199
4729,1387876,TOMATO CHERRY PLUM BROWN,199
4730,1387877,TOMATO CHERRY PLUM RED,199
4731,1387878,TOMATO CHERRY PLUM PINK,199
4732,1387879,TOMATO VINE COCKTAIL RED,199
4733,1387880,TOMATO BEAFSTEAK PINK,199
4734,1387881,TOMATO CHERRY VINE ORANGE,199
4735,1387882,TOMATO CHERRY VINE YELLOW,199
4737,1164621,PINEAPPLE SLICED,59
4759,1388681,CON RADISH MEDLEY 50 GRAM BOX,119
4789,1430617,RASPBERRY PREMIUM INDIAN 125GM,649
4792,1430620,BASIL HERBS PACK 20G,35
4795,1430623,BABY CORN PEELED PACK 200G,49
4914,1392920,APPLE EVELINA,319
4916,1392922,MUSHROOM GUCCI IMP,3999
4920,1392926,MELON HORNED IMP,1999
4926,1382744,ORANGE NAGPUR PKD,89
4927,1368736,BATHUA,59
4929,1368449,CORN PURPLE,3299
5048,1382759,PEARS GREEN ANJOU IMPORTED,449
5049,1382760,PEARS RED ANJOU IMPORTED,469
5050,1437545,Localolives Leccino allaMarchigiana1.9kg,3245
5051,1437546,Spicyolive mixStuffedfantasiaolives1.9kg,3745
5052,1437547,Pepper stuffed olives 1.9 kg,3495
5053,1437548,Olives stuffed with garlic cloves1.9 kg,3745
5054,1437549,Caper fruit 1.9 kg,2995
5055,1437550,Garlic cloves marinated wt paprika1.9 kg,3495
5056,1437551,Feta n crm Stuffed cherr pepp inoil2.0kg,3745
5075,1437929,MALAWI MANGO 6PCS,1320
5076,1437930,MALAWI MANGO 12PCS,2580
5077,1364377,ORANGE MINI SEELDLESS IMPORTED,699
5107,1437817,APPLE GRANNY SMITH FRANCE KG,399
5112,1382191,PEACH GOLDEN IMPORTED,1999
5128,1438189,TCW GREEN TEA 300ML POT,225
5129,1438190,TCW KASHMIRI KAHWA TEA 300ML POT,225
5130,1438191,TCW MORROCCAN MINT TEA 300ML POT,225
5131,1438192,TCW MASALA CHAI TEA 120ML KULHAD,179
5132,1423654,CHILLI BANGKOK RED LONG,35
5134,1423655,JALAPENO PEPPER GREEN INDIAN,59
5135,1423656,JALAPENO PEPPER RED INDIAN,59
5136,1423657,HOT PEPPER MIX INDIAN,99
5137,1423658,CELERY ROOT INDIAN,99
5139,1423659,PARSNIP INDIAN,99
5140,1423660,ARTICHOKE GLOBE INDIAN,999
5141,1423661,ARTICHOKE JERUSALEM INDIAN,599
5238,1430644,CON NATURES MICROGREENS GROW KIT,299
5239,1430643,CON NATURES MICROGREENS 4 VARIETY 50 GM,129
5240,1430642,CON NATURES MICROGREENS KALE RED,129
5241,1430641,CON NATURES MICROGREENS BEETROOT,129
5242,1430640,CON NATURES MICROGREENS AMARANREDGARNET,129
5243,1430639,CON NATURES MICROGREENS PEA SHOOT,129
5244,1430638,CON NATURES MICROGREENS BROCCOLI,129
5245,1430637,CON NATURES MICROGREENS MIX,99
5246,1430636,CON NATURES MICROGREENS ONION,99
5247,1430635,CON NATURES MICROGREENS MUSTARD,99
5248,1430634,CON NATURES MICROGREENS SUNFLOWER,99
5249,1430633,CON NATURES MICROGREENS RADISH PINK,99
5250,1430632,CON NATURES MICROGREENS RADISH WHITE,99
5251,1430631,CON NATURES MICROGREENS WHEATGRASS,79
5252,1432058,Cohoma Gift Box (3X75gm + Brew Filter),1290
5253,1432059,Cohoma Cold Brew Tumbler,1499
5254,1432060,Cohoma Original Arrabiaca Mellow 100g,390
5255,1432061,Cohoma Original Arrabiaca Mellow 250g,845
5256,1432062,Cohoma Original Arrabiaca Mellow 500g,1395
5257,1432063,Cohoma Original Arrabiaca Mellow 1kg,2425
5258,1432064,Cohoma Organic Peppermint 100g,390
5259,1432065,Cohoma Organic Peppermint 250g,845
5260,1432066,Cohoma Organic Peppermint 500g,1395
5261,1432067,Cohoma Organic Peppermint 1kg,2425
5263,1340888,(NB) ROCKET / ARUGULA,59
5323,1438193,TCW FLOWERY BOUQUET TEA 300ML POT,225
5324,1438194,TCW MANGO LOVE TEA 300ML POT,225
5325,1438195,TCW Hibiscus Citrus - Cold 300ml,290
5326,1438196,TCW Iced Matcha Latte 300ml,250
5327,1438197,TCW Passionfruit Rooibos 300ml,250
5328,1438198,TCW Thyme Limoncello 300ml,250
5329,1438199,TCW Pink Peru Punch 300ml,250
5333,1394177,MUSK MELON BOBBY IMPORTED,999
5411,1368502,APRICOT INDIAN,499
5412,1250876,CHICKEN HAM BLOCK,1299
5413,1368523,NACTARINE INDIAN,399
5415,1334039,PEARS KOREAN KG,1699
5416,1012866,MANGO NEELAM KG,399
5486,1424736,KEW PINEAPPLE INDIAN NORTH EAST,219
5488,1368506,DATES FRESH YELLOW,299
5489,1368505,DATES FRESH RED,299
5490,1424957,TEA CULTURE BLUE PEA FLOWER TEA,1990
5491,1424958,TEA CULTURE SMOOTH VANILLA ROOIBOS,1540
5492,1424959,TEA CULTURE REFRESHING ROSE MATE,1590
5493,1424960,TEA CULTURE CHOCOLATE TRUFFLE,1640
5494,1424961,TEA CULTURE TANGY ORANGE ROOIBOS,1540
5495,1424962,TEA CULTURE FRENCH CONNECTION,1640
5496,1425173,Mahamango 12pc Box,1999
5497,1425174,Mahamango 6pc Box,1149
5503,1425462,CHERRY IMPORTED USA PACK,999
5511,1425661,OLIVES STUFFED WITH TRUFFLE PASTE IN OIL,3495
5512,1425662,GREENOLIVE STFFED SPICY JALPN PSTE INOIL,2995
5554,1425988,AVOCADO VALUE PACK 2PC,499
5561,1424629,PRESIDENT GOUDA LOAF 3KG,3700
5562,1424628,PRESIDENT EDAM LOAF 3KG,3700
5565,1424633,PRESIDENT WHITE CHEDDAR LOAF 2.25KG,3500
5566,1424632,PRESIDENT RED CHEDDAR LOAF 2.25KG,3500
5568,1424609,FRICO LIGHT GOUDA WHEEL 5KG,5000
5591,1438853,BLACKBERRY INDIAN PACK,999
5606,1396495,TBB ASSORTED BAKLAVA BOX 250G,750
5607,1396496,TBB ASSORTED BAKLAVA BOX 500G,1500
5608,1396497,TBB ASSORTED BAKLAVA BOX 750G,2250
5609,1396498,TBB REGALIA GB WITH ASSORTED BAKLAVAS,1610
5611,1396500,TBB CASHEW SQUARE BAKLAVA,2800
5615,1396504,TBB FINGER BAKLAVA,2400
5616,1396505,TBB PISTACHIO SQUARE BAKLAVA,3800
5619,1396508,TBB CHOCOLATE SQUARE BAKLAVA,2400
5620,1396509,TBB RABRI MEDJOOL DATES 25G,120
5622,1396511,TBB MANGO MEDJOOL DATES 25G,120
5678,1326730,APPLE PINK LADY 4 PC PACK,279
5680,1365368,GUAVA RED INDIAN,159
5693,1397058,RAW DUCK BREAST,3000
5694,1397059,RAW TURKEY BREAST,4118
5696,1397607,TBB ALMOND MILK MAID KUNAFA,400
5697,1397608,TBB CASHEW KUNAFA,350
5698,1397609,TBB PISTA KUNAFA,450
5699,1397610,TBB BURMA CASHEW BAKLAVA,90
5700,1397611,TBB ANKARA DOLMA BAKLAVA,80
5701,1397612,TBB PISTA ROLL BAKLAVA,80
5702,1397613,TBB PISTA RING BAKLAVA,60
5703,1397614,TBB CHOCOLATE DIAMOND BAKLAVA,55
5704,1397615,TBB CHOCOLATE RING BAKLAVA,45
5705,1397616,TBB CHOCOLATE FINGER BAKLAVA,25
5706,1397617,TBB CLASSIC WALNUT BAKLAVA,80
5707,1397618,TBB WALNUT KUNAFA,400
5935,1397882,CBTL NSA PURE COOKIE N CREAM IB SML,346
5936,1397883,CBTL NSA PURE COOKIE N CREAM IB REGULAR,378
5957,1432492,APPLE ROYAL GALA FRANCE KG,349
5958,1432493,APPLE RED DELICIOUS FRANCE KG,399
5960,1398036,RASPBERRY INDIAN PC,449
5963,1398105,BUTLERS MILK TRUFFLE,3000
5964,1398106,BUTLERS MINT TRUFFLES,3000
5965,1398107,BUTLERS HONEYCOMB CRISP,3000
5966,1398108,BUTLERS CARAMEL TRUFFLE,3000
5967,1398109,BUTLERS 70PERCENT DARK MINI BAR,4000
5968,1398110,BUTLERS 40 PERCENT MILK MINI BAR,4000
5969,1398111,BUTLERS SALT CARAMEL MINI BAR,4000
5970,1398112,BUTLERS WHITE COCONUT MINI BAR,4000
5971,1398113,BUTLERS ORANGE N ALMOND MINI BAR,4000
5972,1398114,BUTLERS WHITE RASPBERRY MINI BAR,4000
5974,1397923,ALF FARM RAW DUCK 1KG TO 1.5KG,1799
5975,1397924,ALF FARM SMKD ROASTED DUCK 1KG TO 1.5KG,2339
5976,1397925,ALFFARM HONEY ROAST CHICKEN 1.5KG TO 2KG,2158
5977,1397926,ALF FARM PORK HONEY LEG HAM 1.5KG TO 2KG,2398
5978,1397927,ALF FARM PORK SMOKD LEG HAM 1.5KG TO 2KG,2398
5979,1397928,NATURES FRESH PEKIN DUCK 1.5KG TO 2KG,2398
5980,1397929,NATURES FRESH QUAIL 100GM TO 150GM,240
5981,1397930,ALF FARM RAW FROZN TURKEY 2KG TO 3KG,4317
5982,1397931,NATURES FRESH TURKEY KG 2.5KG TO 3KG,3777
5983,1397932,BUTTERBALL WHOLE FROZEN TURKEY 4KG TO 6K,1367
5984,1397933,NATURES FRESH RABBIT 600GM TO 900G,1512
6007,1395996,Chicken - 199,199
6008,1395997,Chicken - 299,299
6009,1395998,Chicken - 399,399
6010,1395999,Pork - 499,499
6011,1396000,Pork - 699,699
6012,1396001,Turkey - 599,599
6013,1396002,Turkey - 699,699
6014,1396003,Chicken & Pork - 799,799
6015,1396004,Chicken & Turkey - 699,699
6016,1396005,Chicken Turkey Pork - 899,899
6017,1396006,Chicken & Turkey - 999,999
6018,1396007,Chicken N Turkey Pork  1199,1199
6039,1398305,MACADEMIA SINGLE BIG BROOKIE,240
6040,1398306,PECANS SINGLE BIG BROOKIE,240
6041,1398307,BLUEBERRY SINGLE BIG BROOKIE,240
6042,1398308,ALMOND WITH SAFFRON SINGLE BIG BROOKIE,240
6043,1398309,HAZELNUT SINGLE BIG BROOKIE,210
6044,1398310,STRAWBERRY SINGLE BIG BROOKIE,210
6045,1398311,PISTACHIO SINGLE BIG BROOKIE,210
6046,1398312,WALNUT SINGLE BIG BROOKIE,210
6047,1398313,FIGS N HONEY SINGLE BIG BROOKIE,210
6048,1398314,KIDS SPECIAL SINGLE BIG BROOKIE,210
6049,1398315,ALMOND SINGLE BIG BROOKIE,190
6050,1398316,ORANGE SINGLE BIG BROOKIE,190
6051,1398317,GINGER SINGLE BIG BROOKIE,190
6052,1398318,SPEARMINT SINGLE BIG BROOKIE,190
6053,1398319,SUPER PREMIUM COMBO,370
6054,1398320,PREMIUM COMBO,340
6055,1398321,REGULAR COMBO,320
6062,1398783,FRESH GUCAMOLE DIP 200G,399
6064,1398785,FRESH HUMMUS 200G,199
6110,1398454,MULTI COLOURED SWISS CHARD LIVE PLANT,99
6113,1398457,CHRISTMAS POINSETTIA PLANT,399
6125,1399112,FIGS FRESH PC,169
6127,1399114,GRAPES CRIMSON PC,149
6128,1399163,LOLLO ROSSA LETTUCE LIVE,75
6129,1399164,LOLLO GREEN LETTUCE LIVE,75
6130,1399165,BUTTERHEAD LETTUCE LIVE,75
6131,1399166,BUTTERHEAD RED LETTUCE LIVE,75
6132,1399167,OAKLEAF GREEN LETTUCE LIVE,75
6133,1399168,OAKLEAF RED LETTUCE LIVE,75
6134,1399169,ROMAINE LETTUCE LIVE,75
6135,1399170,NATURES MIRACLE MANDARIN 800G,475
6136,1399171,NATURES MIRACLE SUPER CHIEF APPLES,175
6137,1399174,ASSORTED BAKLAVA BOX 250G,800
6138,1399175,ASSORTED BAKLAVA BOX 500G,1550
6139,1399176,ASSORTED BAKLAVA BOX 750G,2300
6140,1399317,REGALIA GB WITH ASSORTED BAKLAVAS 150G,450
6141,1399318,REGALIA GB WITH ASSORTED BAKLAVAS 250G,750
6142,1399319,ALMOND TART BAKLAVA 250G,750
6143,1399320,ALMOND TART BAKLAVA 150G,450
6144,1399321,CASHEW SQUARE BAKLAVA 250G,750
6145,1399322,CASHEW SQUARE BAKLAVA 150G,450
6146,1399323,CLASSIC PISTACHIO BAKLAVA 250G,800
6147,1399324,CLASSIC PISTACHIO BAKLAVA 150G,550
6148,1399325,MIXED TART BAKLAVA 250G,750
6149,1399326,MIXED TART BAKLAVA 150G,450
6150,1399327,CASHEW TART BAKLAVA 250G,750
6151,1399328,CASHEW TART BAKLAVA 150G,450
6152,1399329,FINGER BAKLAVA 250G,750
6153,1399330,FINGER BAKLAVA 150G,450
6154,1399331,PISTACHIO SQUARE BAKLAVA 250G,900
6155,1399332,PISTACHIO SQUARE BAKLAVA 150G,500
6156,1399333,PYRAMID BAKLAVA 250G,750
6157,1399334,PYRAMID BAKLAVA 150G,450
6158,1399335,PISTACHIO TART BAKLAVA 250G,900
6159,1399336,PISTACHIO TART BAKLAVA 150G,550
6160,1399337,CHOCOLATE SQUARE BAKLAVA 250G,750
6161,1399198,RABRI MEDJOOL DATES 6PC,720
6162,1399199,RABRI MEDJOOL DATES 12PC,1440
6163,1399200,GULKAND MEDJOOL DATES 6PC,720
6164,1399201,GULKAND MEDJOOL DATES 12PC,1440
6165,1399202,MANGO MEDJOOL DATES 6PC,720
6166,1399203,MANGO MEDJOOL DATES 12PC,1440
6167,1399204,COFFEE MEDJOOL DATES 6PC,720
6168,1399205,COFFEE MEDJOOL DATES 12PC,1440
6169,1399206,CASHEW MEDJOOL DATES 6PC,720
6170,1399207,CASHEW MEDJOOL DATES 12PC,1440
6171,1399208,PISTACHIO MEDJOOL DATES 6PC,780
6172,1399209,PISTACHIO MEDJOOL DATES 12PC,1550
6173,1399210,ALMOND MEDJOOL DATES 6PC,720
6174,1399211,ALMOND MEDJOOL DATES 12PC,1440
6175,1399212,WALNUT MEDJOOL DATES 6PC,720
6176,1399213,WALNUT MEDJOOL DATES 12PC,1440
6177,1399338,BURMA PISTACHIO BAKLAVA 150G,550
6178,1399339,BURMA PISTACHIO BAKLAVA 250G,900
6179,1399340,BURMA CASHEW BAKLAVA 150G,450
6180,1399341,BURMA CASHEW BAKLAVA 250G,750
6181,1399342,ANKARA DOLMA BAKLAVA 150G,550
6182,1399343,ANKARA DOLMA BAKLAVA 250G,800
6183,1399344,PISTA ROLL BAKLAVA 150G,550
6184,1399345,PISTA ROLL BAKLAVA 250G,900
6185,1399346,PISTA RING BAKLAVA 150G,550
6186,1399347,PISTA RING BAKLAVA 250G,900
6187,1399348,CHOCOLATE DIAMOND BAKLAVA 150G,450
6188,1399349,CHOCOLATE DIAMOND BAKLAVA 250G,750
6189,1399350,CHOCOLATE RING BAKLAVA 150G,450
6190,1399351,CHOCOLATE RING BAKLAVA 250G,750
6191,1399352,CHOCOLATE FINGER BAKLAVA 150G,450
6192,1399353,CHOCOLATE FINGER BAKLAVA 250G,750
6193,1399354,CLASSIC WALNUT BAKLAVA 150G,450
6194,1399355,CLASSIC WALNUT BAKLAVA 250G,750
6195,1399356,CHOCOLATE SQUARE BAKLAVA 150G,450
6203,1371958,BASIL 20 G NB,25
6204,1341699,(NB) LEMON GRASS,35
6205,1318788,(NB) OREGANO,39
6207,1372007,ROSEMARY 20 G NB,69
6208,1318792,(NB) THYME,59
6209,1340831,(NB) GALANGAL,59
6210,1185648,APPLE ROYAL GALA PACK,349
6211,1368463,APPLE SAHARANPURI,299
6217,1427465,TEA CULTURE Lively Fruity and Lemon,1610
6218,1427466,Tea Culture Reveil - Red,650
6219,1427467,Tea Culture Reveil - Green,650
6220,1427468,Tea Culture Dream Brews - Kahwa,1400
6221,1427469,Tea Culture Dream Brews - Darjeeling,1400
6222,1427470,Tea Culture Healthy Brews,1500
6223,1427471,Tea Culture Teas Estates of India,1400
6224,1427472,Tea Culture Best of World Teas,1000
6225,1427473,Tea Culture Exotic Selection 10 Tea Bags,250
6226,1399396,HAZELNUT MILK CHOCOLATE SINGLE BROOKIES,210
6227,1400454,GRAPES MIX INDIAN PC,229
6229,1400661,NB TOMATO SALSA,99
6230,1400662,NB MIX EXOTIC CUT FRUITS,199
6231,1400663,NB MIX CUT FRUITS,99
6232,1400664,NB GUACAMOLE,499
6233,1400617,NB CHICKEN TANDURI MARINATION BONELES KG,799
6234,1400618,NB CHICKEN TANDURI MARINTION CURY CUT KG,799
6235,1400619,NB CHICKEN TANDURI MARINTION DRUMSTIK KG,799
6236,1400620,NB CHICKEN TIKKA MASALA BONELESS KG,799
6237,1400621,NB CHICKEN SCHEZWAN MARINTION BONELES KG,799
6238,1400622,NB CHICKEN SCHEZWN MARINTION DRUMSTIK KG,799
6239,1400623,NB CHICKEN SCHEZWN MARINTION CURY CUT KG,799
6240,1400624,NB CHICKEN MALAI MARINATION BONELESS KG,799
6241,1400625,NB CHICKEN MALAI MARINATION DRUMSTICK KG,799
6242,1400626,NB CHICKEN KALONJI MARINATION BONELSS KG,799
6243,1400627,NB CHICKEN BIRYANI MASALA BONELSS KG,799
6244,1400628,NB CHICKEN BIRYANI MASALA CURRY CUT KG,799
6245,1400629,NB CHICKEN AFGHANI MARINATION BONELSS KG,799
6246,1400630,NB CHICKEN AFGHANI MARINTION DRUMSTIK KG,799
6247,1400631,NB CHICKEN ITALIAN MARINATION BONELSS KG,799
6248,1400632,NB CHICKEN ITALIAN MARINTION DRUMSTIK KG,799
6249,1400633,NB CHICKEN THAI BASIL GRIL MARINATION KG,799
6250,1400634,NB CHICKEN SATAY MARINATION BONELESS KG,799
6251,1400635,NB CHICKEN MAXICAN MARINATION BONELES KG,799
6252,1400647,NIMMIS TANDOORI MARINATION PER KG,648
6253,1400648,NIMMIS CHICKEN MUTTON TIKA MASALA PER KG,648
6254,1400649,NIMMIS SCHEWZAN MARINATION PER KG,665
6255,1400650,NIMMIS MALAI KABAB MARINATION PER KG,665
6256,1400651,NIMMIS KALONJI MARINATION PER KG,648
6257,1400652,NIMMIS BIRYANI MASALA PER KG,648
6258,1400653,NIMMIS AFGHANI MARINATION PER KG,648
6259,1400654,NIMMIS ITALIAN MARINATION PER KG,840
6260,1400655,NIMMIS THAI BASIL GRIL CHCKN PSTE PER KG,805
6261,1400656,NIMMIS CHICKEN SATAY MARINATION PER KG,945
6262,1400657,NIMMIS PAPRIKA CHICKEN MEXICAN PER KG,805
6275,1400752,OLIVES STFFED WITH FETA CHEESE IN OIL KG,3245
6276,1400753,PITTED MIX GRN BLCK SPICY FNTSY OLIVE KG,3245
6277,1400754,LRG PTTD GRN OLIVES STFFD WITH GARLIC KG,2745
6278,1400755,LRG PTTD GRN OLIVE STFFD WITH PIMENTO KG,2845
6279,1400756,LRG PTTD GRN OLIVE STFFD WTH PIRIPIRI KG,2845
6280,1400757,LRG PTTD GRN OLIVE STFFD WTH SNDRIED KG,2845
6281,1400758,SUNDRIED TOMATOES IN OIL KG,2245
6282,1400759,LARGE GREEN OLIVES KG,2795
6283,1400760,LARGE PITTED GREEN OLIVES KG,1145
6284,1400761,LARGE PITTED BLACK OLIVES KG,1145
6285,1400762,RED HOT CHILLI PEPPER IN OIL KG,2345
6289,1401342,DRAGON FRUIT RED FLESH PC,149
6290,1401343,DRAGON FRUIT WHITE FLESH PC,99
6291,1401344,GRAPES FLAME SEEDLESS PC,149
6359,1379269,NB CHESTNUT BROWN PC,679
6402,1402607,SMOKED DUCK BREAST,3599
6403,1402608,TURKEY MORTADELLA,5000
6404,1402609,TURKEY FRANKFURTERS,4500
6410,1403265,GOOSEBERRY INDIAN,99
6411,1403270,MANGO ALPHONSO PREMIUM 1 PC,99
6460,1428210,PRUNES FRUIT KG,599
6461,1428191,CON MUSHROOM KING OYSTER INDIAN,399
6462,1428192,CON MUSHROOM PORTOBELLO INDIAN,299
6463,1428193,CON MUSHROOM OYSTER INDIAN,99
6464,1404090,BERRIES MIX PC,1199
6465,1404091,BLACK BERRY IMPORTED PC,1199
6466,1404092,CABBAGE CHINESE PC,99
6467,1404093,CABBAGE RED PC,59
6471,1404097,CARROT BABY PACK,89
6473,1404099,CELERY PC,69
6475,1404101,CELERY TRIKAYA PC,69
6480,1404106,CORN AMERICAN SHELLED PC,29
6483,1404109,CURRANT RED PC,1199
6485,1404111,GALANGAL PACK,59
6489,1404115,GOURD BOTTLE PC,49
6494,1404120,LETTUCE LEAF PC,89
6495,1404121,LETTUCE LEAF GREEN PC,79
6496,1404122,LETTUCE ROMAINE RED PC,89
6498,1404124,MAKROOT LEAVES PACK,59
6500,1404126,WATERMELON KIRAN,169
6504,1404130,MUSHROOM SHI TAKE PC,999
6510,1404136,OREGANO FRESH PACK,35
6511,1404137,PAK CHOI CHINESE PC,99
6513,1404139,PAPAYA RAW PC,25
6514,1404140,PARSLEY CURLED PC,59
6516,1404142,PEAS SNOW IMPORTED PACK,199
6517,1404143,PLUMS IMPORTED PACK,279
6520,1404146,RASPBERRY IMPORTED PC,1199
6521,1404147,SPROUTS BEANS PACK,39
6522,1404148,SPROUTS BRUSSEL PACK,199
6523,1404149,SUGARCANE PACK,29
6525,1404151,SWEET CORN 2PC,55
6527,1422297,CON NATURES CHERRY TOMATO RED,65
6528,1404154,TOMATO CHERRY RED PC,69
6529,1422298,CON NATURES CHERRY TOMATO YELLOW,85
6530,1404156,TOMATO CHERRY RED VINE IMPORTED PC,799
6531,1404157,ZUCCHINI GREEN PC,99
6532,1404158,SPROUTS CHAWLI PACK,49
6533,1404159,SPROUTS CHICK PEA PACK,45
6534,1404160,GRAPE FRUIT IMPORTED PACK,449
6535,1422299,CON NATURES CUCUMBER EUROPEAN,59
6537,1422301,CON NATURES BABY CORN,75
6538,1422302,CON NATURES SPINACH,59
6539,1422303,CON NATURES BABY SPINACH,55
6540,1422304,CON NATURES CORIANDER,39
6542,1404168,CHERRY IMPORTED PACK,599
6543,1404169,PALM HEART PC,349
6544,1404170,SNOWPEAS PACK,249
6545,1422306,CON NATURES MINT,55
6546,1422307,CON NATURES BASIL ITALIAN,49
6547,1404173,PINEAPPLE THAI IMPORTED PC,499
6548,1422308,CON NATURES AMARANTHUS RED,69
6549,1422309,CON NATURES LEMON GRASS,35
6550,1422310,CON NATURES LETTUCE LOLO GREEN,99
6551,1422311,CON NATURES LETTUCE LOLO ROSSO RED,99
6552,1422312,CON NATURES LETTUCE ROMAINE,99
6553,1422313,CON NATURES LETTUCE BUTTERHEAD,99
6554,1404180,ONION WHITE PACK,49
6555,1404181,BRINJAL THAI PACK,69
