PLU,ARTICLE,ARTICLE DESCRIPTION,PRICE
271,1365328,SPROUTS METHI 200G,49
274,1418934,TEA CULTURE QUIESCENCE ACQUA GIFT SET,1000
275,1365287,GOURD SPONGE,119
276,1418935,TEA CULTURE QUIESCENCE DAY BREAK GIFTSET,1550
278,1418936,TEA CULTURE QUIESCENCE MEADOW GIFT SET,7000
279,1418937,TEA CULTURE QUIESCNCE PURPLE SKY GIFTSET,2500
280,1365274,MUSHROOM KING OYSTER IMPORTED,3399
281,1418938,Tea Culture Rooibus Tea loose Tea,1620
283,1372871,MUSHROOM BUTTON 200g NB,55
284,1418939,TEA CULTURE ROSE BUDS LOOSE TEA,2610
285,1365281,MUSHROOM SHI TAKE,3299
286,1365234,MUSHROOM SHIMEJI BROWN,3299
289,1365298,NACTARINE IMPORTED,1999
290,1365340,APPLE BER,139
294,1418940,TEA CULTURE ROSE ROMANCE LOOSE TEA,1320
295,1418941,TEA CULTURE SAFFRON SPICED,1480
296,1000816,ONION KG,49
298,1418942,Tea Culture Sencha loose Tea,3070
301,1000819,ONION WHITE KG,59
302,1167712,ORANGE NAGPUR,219
303,1418943,Tea Culture Signature blend 480g,1500
305,1418944,Tea Culture Silver Needle White Tea loo,4250
306,1418945,TEA CULTURE SINBULLI LOOSE TEA,3360
307,1365204,GRAPES GREEN IMPORTED,1599
308,1418946,Tea Culture Skin Glow,1990
309,1365546,FLOWER 1,549
310,1418947,TEA CULTURE SNOWY SHAN LOOSE TEA,3930
311,1418948,Tea Culture Spicy Madarin Oolong looseT,1760
312,1418949,TEA CULTURE STRAWBERRY SURPRISE LOOSETEA,2890
313,1365547,FLOWER 2,849
314,1418950,TEA CULTURE STRESSBUSTER LOOSE TEA,1700
315,1365143,FLOWER 3,1139
317,1418951,Tea Culture Strwbery Farm Gren looseTea,1610
319,1012857,PARSLEY,899
320,1418952,TEA CULTURE SWEET SLEEP LOOSE TEA,1980
321,1367192,GUAVA IMPORTED,999
324,1367086,FRUIT FIESTA,79
325,1364557,PEACH FLAT IMPORTED,1599
326,1023909,PEACH IMPORTED,1999
327,1418953,TEA CULTURE THE ALMOND BREW LOOSE TEA,1360
328,1372711,GARLIC PEELED NB,79
329,1367095,SPROUTS ALFA ALFA PC,39
330,1418954,TEA CULTURE THROAT RESCUE LOOSE TEA,1590
331,1367201,GRAPES BLACK IMPORTED,1599
333,1319570,PERSIMMON KG,419
334,1418955,TEA CULTURE THURBO LOOSE TEA,3870
335,1418956,Tea Culture Tieguayin Tea loose Tea,3050
336,1418958,Tea Culture Vanila Rooibus loose Tea,1620
337,1000916,MANGO HIMAYAT KG,499
338,1182229,PLUMS IMPORTED,599
340,1365149,POMEGRANATE RED,459
342,1418959,Tea Culture Weight Loss,2950
343,1000820,POTATO KG,45
344,1000564,POTATO BABY KG,79
345,1418960,Tea Culture Wellness Collection 480g,1500
346,1418961,TEA CULTURE YELLOW TEA LOOSE TEA,7220
347,1365226,POTATO SWEET,119
348,1418962,TEA CULTURE DAY BREAK CADDIES 100G,1590
349,1368496,TENDER JACK FRUIT VEG KATHAL,139
350,1418963,TEA CULTURE DETOX CADDY GIFTSET,1580
351,1369220,PAPAYA ORGANIC 1,75
352,1368508,JAMUM,749
354,1365350,PASTA MIX ITALIAN 250 gm,139
355,1418964,TEA CULTURE EASY DIGEST CADDY GIFTSET,1490
